CHEMBL_ID,smiles,index
CHEMBL10,C[S+]([O-])c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,1
CHEMBL100102,NCCCCCCNC1=C(C(=O)NC1=O)c2cc3ccccc3[nH]2,2
CHEMBL1006,NCCCNCCSP(=O)(O)O,3
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,4
CHEMBL101,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,5
CHEMBL101168,Nn1nnc2ccccc12,6
CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c4ccccc24)cc1,7
CHEMBL101311,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1,8
CHEMBL1016,CCOc1nc2cccc(C(=O)O)c2n1Cc3ccc(cc3)c4ccccc4c5nnn[nH]5,9
CHEMBL101683,Clc1ccc(NC(=O)c2ccccc2NCc3ccncc3)cc1,10
CHEMBL102,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)C)/c3csc(N)n3,11
CHEMBL1020,Cc1ccc(cc1)C(=O)c2ccc(CC(=O)O)n2C,12
CHEMBL102301,COc1cc2ncnc(N3CCN(CC3)\C(=N/Cc4ccc5OCOc5c4)\S)c2cc1OC,13
CHEMBL102346,COc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(Oc5ccccc5)cc4)c2cc1OC,14
CHEMBL1024,ClCCNP1(=O)OCCCN1CCCl,15
CHEMBL102858,CCCCCCCCCCc1ccc2C[C@@H](CO)OC(=O)[C@H](C(C)C)N(C)c2c1,16
CHEMBL102991,CCCCCCCCCCCN1[C@@H](C(C)C)C(=O)O[C@H](CO)Cc2ccccc12,17
CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,18
CHEMBL103055,CCN1CCOCCn2cc(C3=C(C(=O)NC3=O)c4cn(CCOCC1)c5ccccc45)c6ccccc26,19
CHEMBL103091,CCCCCCCCCCc1cccc2N(C)[C@@H](C(C)C)C(=O)O[C@H](CO)Cc12,20
CHEMBL103667,Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(OCCN4CCOCC4)c5ccccc35)C(C)(C)C,21
CHEMBL104,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,22
CHEMBL104067,COc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(cc4)C(C)C)c2cc1OC,23
CHEMBL1042,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)CCC3=C)\CCC[C@]12C,24
CHEMBL104264,Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,25
CHEMBL104466,COc1cc2ncc(N[C@@H]3CC[C@@H](O)CC3)nc2cc1OC,26
CHEMBL1046,NCCCCCC(=O)O,27
CHEMBL105,CO[C@]12[C@H]3N[C@H]3CN1C4=C([C@H]2COC(=O)N)C(=O)C(=C(C)C4=O)N,28
CHEMBL1054,NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl,29
CHEMBL105436,COc1cccc(c1)c2cn(c3ccc(CCN(C)CCO)cc3)c4ncnc(N)c24,30
CHEMBL105442,Fc1ccc(C(=O)NOCC2CC2)c(Nc3ccc(I)cc3Cl)c1F,31
CHEMBL1055,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,32
CHEMBL106,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,33
CHEMBL1062,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,34
CHEMBL1064,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,35
CHEMBL1065,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34,36
CHEMBL1068,NC(=O)N1c2ccccc2CC(=O)c3ccccc13,37
CHEMBL1069,CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3nnn[nH]3)[C@@H](C(C)C)C(=O)O,38
CHEMBL106966,COc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(cc4)C#N)c2cc1OC,39
CHEMBL107,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,40
CHEMBL1070,COc1ccc2cc(CCC(=O)C)ccc2c1,41
CHEMBL1071,OC(=O)CCc1oc(c2ccccc2)c(n1)c3ccccc3,42
CHEMBL1073,Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,43
CHEMBL1076211,CC(CN1CCCCC1)C(=O)c2ccc(C)cc2,44
CHEMBL1076721,COc1ccc(cc1)C2=NNC(=O)/C/2=N\Nc3cccnc3,45
CHEMBL1077,Nc1c(CC(=O)O)cccc1C(=O)c2ccc(Br)cc2,46
