invalid_smiles,Canonicalized
O(C)c1c(OC)cc2c(c3c(c4c2C[C@@H]2[N+H](C4)CCCC2)ccc(OC)c3)c1,COc1ccc2c(c1)c3cc(c(cc3c4c2C[NH+]5CCCCC5C4)OC)OC
O=C(Oc1c(C)c2OCOc2c2c1[C@@H]1SC[C@]3(C(=O)OCC2N2[C@@H](O)C4[N+H](C)C(c5c(O)c(OC)c(C)cc5C4)C12)[N+H2]CCc1c3cc(OC)c(O)c1)C,Cc1cc2c(c(c1OC)O)C3C4C5c6c(c7c(c(c6OC(=O)C)C)OCO7)C(N4C(C(C2)[NH+]3C)O)COC(=O)C8(CS5)c9cc(c(cc9CC[NH2+]8)O)OC
O=C(N([C@@H]([C@@H](OC)CC(=O)N1[C@@H]([C@@H](OC)[C@@H](C(=O)N[C@H](Cc2ccccc2)c2sccn2)C)CCC1)[C@@H](CC)C)C)[C@H](NC(=O)[C@H]([N+H](C)C)C(C)C)C(C)C,CCC(C)C(C(CC(=O)N1CCCC1C(C(C)C(=O)NC(Cc2ccccc2)c3nccs3)OC)OC)N(C)C(=O)C(C(C)C)NC(=O)C(C(C)C)[NH+](C)C
O(C)C1(C)C(OC)C(OC2c3c([O-])c4C(=O)c5c([O-])cc6C7(C)C(O)C([N+H](C)C)C(O)C(O7)Oc6c5C(=O)c4cc3CC(O)(C)C2)OC(C)C1OC,CC1C(C(C(C(O1)OC2CC(Cc3c2c(c4c(c3)C(=O)c5c(c(cc6c5OC7C(C(C(C6(O7)C)O)[NH+](C)C)O)[O-])C4=O)[O-])(C)O)OC)(C)OC)OC
O=C(N(C(C(=O)N1C(C(=O)N2C(C(=O)OC(C(=O)N3C(=O)C=C(OC)C3Cc3ccccc3)C(C)C)CCC2)CCC1)C(C)C)C)C(NC(=O)C([N+H](C)C)C(C)C)C(C)C,CC(C)C(C(=O)N(C)C(C(C)C)C(=O)N1CCCC1C(=O)N2CCCC2C(=O)OC(C(C)C)C(=O)N3C(C(=CC3=O)OC)Cc4ccccc4)NC(=O)C(C(C)C)[NH+](C)C
O=C1c2c([O-])c(C3OC(C)C(O)C([N+H](C)C)(C)C3)cc(C3OC(C)C(O)C([N+H](C)C)C3)c2C(=O)c2c1c1OC(C3(C)C(C4C(C)O4)O3)=CC(=O)c1c(C)c2,Cc1cc2c(c3c1c(=O)cc(o3)C4(C(O4)C5C(O5)C)C)C(=O)c6c(c(cc(c6[O-])C7CC(C(C(O7)C)O)(C)[NH+](C)C)C8CC(C(C(O8)C)O)[NH+](C)C)C2=O
O(C)[C@H]1[C@@H](C[C@H](O)C[N+H3])O[C@@H]2[C@@H]1CC(=O)C[C@@H]1O[C@@H]3[C@@H]4O[C@@]5(O[C@@H]6[C@H](O[C@H]3CC1)[C@H]4O[C@@H]6C5)CC[C@@H]1O[C@H](C(=C)C1)CC[C@H]1O[C@@H](C(=C)[C@H](C)C1)C2,CC1CC2CCC3C(=C)CC(O3)CCC45CC6C(O4)C7C(O6)C(O5)C8C(O7)CCC(O8)CC(=O)CC9C(CC(C1=C)O2)OC(C9OC)CC(C[NH3+])O
O=C(OC1C(C)C(O)C(C)CCC(OC)/C(/C)=C\CC(C)CC(OC)/C=C/CC(C(C(O)C(CCC(OC(=O)C([N+H](C)C)C)C(C(OC(=O)C)C(/C=C/N(C=O)C)C)C)C)C)OC(=O)/C=C/C=C/C1)C([N+H](C)C)COC,CC1CCC(C(=CCC(CC(C=CCC(OC(=O)C=CC=CCC(C(C1O)C)OC(=O)C(COC)[NH+](C)C)C(C)C(C(C)CCC(C(C)C(C(C)C=CN(C)C=O)OC(=O)C)OC(=O)C(C)[NH+](C)C)O)OC)C)C)OC
FCCOC(=O)Nc1[n+H]c(N)c2N=C([C@H](C)Nc2c1)c1ccccc1,CC1C(=Nc2c(cc([nH+]c2N)NC(=O)OCCF)N1)c3ccccc3
O=C(OCC)Nc1[n+H]c(N)c2N=C([C@H](C)Nc2c1)c1ccccc1,CCOC(=O)Nc1cc2c(c([nH+]1)N)N=C(C(N2)C)c3ccccc3
