Cmpd_ID,PUBCHEM_SID,Canonical_Smiles,External_Cmpd_ID,External_Source,Cluster,ClusterSize,Cluster_MCSS,Molecular_Weight,ALogP,Num_H_Acceptors,Num_H_Donors,tPSA,Promiscuity_1uM,CDK7,CDK8,CDK9,CHEK1,CLK2,CSF1R,CSNK1A1,DAPK3,DYRK1A,DYRK1B,FGFR1,FLT1,FLT3,FYN,GPRK5,GSK3A,GSK3B,IGF1R,IKBKE,JAK2,JAK3,KDR,LCK,LIMK1,LRRK2,LTK,MAP2K1,MAP2K2,MAP4K2,MAP4K4,MAPK14,MAPK8,MAPK9,MST1R,NEK2,NTRK1,NTRK2,NTRK3,PAK4,PDGFRA,PDGFRB,PIM1,PRKAA1,PRKACA,PRKCN,PRKCQ,PRKX,PTK2,RET,ROCK1,RPS6KA3,STK12,STK6,TAO1,TBK1,TYRO3,CLK4,MET,CDC2L6,ITK,PLK1,PLK4,PIM3,AKT1,AKT2,AKT3,INSR,PLK3,EGFR,ERBB2,FGFR3,KIT,PIM2,PTK6,TYK2,HCK,MAP3K10,ROCK2,SGK,CAMKK2,MAPK10,MARK3,MARK4,MELK,ROS1,SIK2,STK3,BLK,CAMK1,CAMK2D,CAMK2G,CDC42BPA,CDC7,CDK2,CHEK2,CSNK1G1,CSNK1G2,CSNK1G3,HIPK2,IRAK1,IRAK4,MAPK1,MINK,MKNK2,NEK4,PDPK1,PHKG2,PKN2,PRKCD,PRKCG,PRKD2,RPS6KA5,RPS6KB1,SRC,STK17A,STK22B,STK22D,CDC2,CSNK2A1,DYRK3,HIPK4,KIAA1811,MAPKAPK2,PAK1,PRKCI,FRK,MAP4K5,TOPK,FER,SLK,CAMK2B,CSNK1D,DCAMKL1,DYRK4,EPHA2,ERBB4,MAPK12,MAPK13,MAPKAPK3,SRPK1,ZAK,MAPKAPK5,MATK,PRKG1,PRKG2,SRMS,AXL,CHUK,FES,FLT4,LYN,MARK2,PRKCZ,PTK2B,SYK,IKBKB,EEF2K,WEE1,BRAF,BMX,RPS6KA4,STK33,PASK,NLK,ALK,BTK,CAMK1D,CAMK2A,CDK5,ABL1,ACK1,ACVR1
5,103904189,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,,,1,400,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,343.81071,2.692,5,3,86.72,0.67,6.6,9.1,8.9,6.4,8.1,6.7,7.2,7.1,,8.6,5.7,6.8,7.9,< 6.1,5.8,7.2,7.3,< 5.7,6.1,6.7,7.3,6.6,5.9,,8.1,6.6,7.5,7.3,7.4,,< 5.4,6.6,6.6,7,5.2,6.4,6.4,7.1,7.6,6,< 5.7,6,6.9,7.5,7.8,7.8,7.2,< 5.2,5.9,8.1,7,6.3,6.1,6.3,6,,,< 5.5,,6.4,6.6,< 5.4,5.5,5.7,5.3,< 5.0,6.4,< 5.1,6.1,< 5.8,< 5.7,< 5.9,6.4,,,,,,6.8,,,7.3,,8.3,6.8,,7.3,< 5.8,< 6.1,7.2,7.5,7.5,9.8,7.9,< 5.8,6.5,6.2,6.2,7.5,7.1,7.4,7.3,8.5,7.4,6.1,6.3,6.7,8.1,7.2,6.7,7.7,,7,< 5.7,7.4,< 5.8,6.9,7.4,6.8,8.3,6.4,6,5.4,5.9,5.6,6.4,7.1,,6.7,6.3,7,7.7,< 5.0,5.5,< 5.5,< 5.4,6.8,6.9,< 5.0,6,,6.1,< 5.7,7,6,6.1,,,6.1,6.7,6.1,,6.6,,6,,,,,,,,,,< 5.9,< 5.9,< 5.6,6.8,8,6.2,5.5,5.9
6,103904190,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,,,1,400,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,342.82595,2.402,5,3,92.51,0.68,7.3,8.3,,,8.1,6.9,7.8,7.3,7.6,7.8,5.4,< 5.4,8.2,< 5.2,6.2,6.4,6.4,< 5.6,5.6,6.1,6.8,6.1,5.5,,8.7,6.9,7.7,7.5,7.2,7.7,5.7,5.9,5.5,7.2,,< 5.5,6.1,5.8,7.4,5.9,6.3,6.9,7.4,8.1,8.3,9.1,8.5,< 5.2,5.7,8.9,7.9,6.6,< 5.8,< 5.2,5.7,5.6,9,,,,,,,,,,,,,,,< 5.4,,,,,,8.7,,,,,,8.5,,,7.1,,,6.6,,,9.5,7.5,,,,,7.4,,,,7.7,,,,,,,,,,,,7.5,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,< 5.2,< 5.6,6.7,8.5,5.8,5.7,6.2
7,103904191,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,,,1,400,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,271.70169,2.357,2,2,71.77,0.42,6.2,6.7,6.8,5.8,8.2,< 5.7,5.4,5.9,,8.4,< 5.4,< 6.0,< 5.6,< 5.4,5.8,6.2,6.1,< 5.6,6,< 5.7,< 5.4,6.4,< 5.4,< 5.2,7,6.2,6.4,6.2,6.6,7.3,< 5.4,5.8,< 5.5,6.1,< 5.2,< 5.6,< 5.4,< 5.6,< 5.3,< 5.6,< 5.7,5.7,6.3,7.1,6.4,6.8,6.7,< 5.4,< 5.6,6.4,5.8,6.3,< 5.8,5.7,6.1,< 5.6,,< 5.6,,< 5.8,< 5.1,7,5.9,5.3,< 5.1,5.2,< 5.3,< 5.1,< 5.7,< 5.8,< 5.7,< 5.9,5.9,< 5.6,< 5.7,,,6.1,6.6,,,6.4,,6.1,7.1,,6.3,< 5.8,< 5.5,7.1,6.7,5.7,6.5,6.3,< 5.8,< 5.2,5.5,5.8,7.4,6.2,,< 5.1,7,7,< 5.2,6.1,6.1,6.7,6.1,5.7,6.6,< 5.7,6.7,< 5.7,7.1,< 5.8,< 5.8,7.4,5.8,7,6.2,6.8,5.7,< 5.0,5.6,5.8,6.6,6.2,< 5.8,6.6,6.5,6.2,< 5.0,6.2,5.8,< 5.4,5.5,5.6,< 5.0,< 5.1,5.3,< 5.8,< 5.7,7.9,6.8,< 5.8,6.2,,< 5.7,6.2,< 5.8,6.8,5.8,< 5.8,6.1,,< 5.4,,,,,,,,< 5.7,< 5.4,5.8,6.1,6.3,6,< 5.4,6.2
10,103904192,Clc1cc(cc(NCc2ccccc2)n1)c3c[nH]c4ncccc34,,,1,400,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,334.80219,4.344,3,2,53.6,0.62,7.6,,7,5.1,8.4,6.8,6.7,7.2,8.4,,6.5,6.7,7.4,8,,,8,< 5.7,,7.5,8.1,6,7.2,,,,,,,,,< 5.5,5.7,,< 5.0,6.8,6.3,7.5,5.7,,,6.8,8.4,7.7,6.8,,7.1,,6.7,7.6,,6.5,< 5.8,6.5,,< 5.7,,< 5.5,,6.6,< 5.1,5.7,6.6,5.4,< 5.1,5.9,< 5.3,< 5.1,6.7,< 5.8,< 5.7,< 5.9,< 5.8,6.2,6.5,,,8,6.4,,,6.8,,6.4,,,,7.3,< 5.3,7.1,7,7.8,,7.7,< 5.8,7.8,8.2,7.7,7.2,7.3,7,6.2,,6.8,< 5.2,< 5.4,< 5.3,8.6,8.1,6.4,6.6,7.8,7.1,7.1,6.8,5.9,6.7,7.6,5.8,7.2,6.4,5.7,5.2,< 5.0,< 5.3,7.1,,5.3,6.9,8,6,7.2,< 5.0,5.6,< 5.5,5.8,6.7,6.2,< 5.0,5.5,6.8,< 5.8,< 5.7,6.7,< 5.8,6,,,,,,,,,,,,,,,,,,,6.5,< 5.9,,,8.3,6.3,,
14,103904193,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,,,1,400,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,343.81071,2.692,5,3,86.72,0.64,6.6,9.1,8.9,6.4,8.1,6.7,7.2,7.1,< 8.7,8.6,5.7,6.8,7.9,< 6.1,5.8,7.2,7.3,< 5.7,6.1,6.7,7.3,6.6,5.9,,8.1,6.6,7.5,7.3,7.4,< 8.5,< 5.4,6.6,6.6,7,5.2,6.4,6.4,7.1,7.6,6,< 5.7,6,6.9,7.5,7.8,7.8,7.2,< 5.2,5.9,8.1,7,6.3,6.1,6.3,6,< 5.7,,< 5.5,,6.4,6.6,< 5.4,5.5,5.7,5.3,< 5.0,6.4,< 5.1,6.1,< 5.8,< 5.7,< 5.9,6.4,,6,,,< 8.4,6.8,,,7.3,,8.3,6.8,,7.3,< 5.8,< 6.1,7.2,7.5,7.5,9.8,7.9,< 5.8,6.5,6.2,6.2,7.5,7.1,7.4,7.3,8.5,7.4,6.1,6.3,6.7,8.1,7.2,6.7,7.7,,7,< 5.7,7.4,< 5.8,6.9,7.4,6.8,8.3,6.4,6,5.4,5.9,5.6,6.4,7.1,5.5,6.7,6.3,7,7.7,< 5.0,5.5,< 5.5,< 5.4,6.8,6.9,< 5.0,6,< 5.1,6.1,< 5.7,7,6,6.1,,,6.1,6.7,6.1,,6.6,,6,,,,,,,,,,< 5.9,< 5.9,< 5.6,6.8,8,6.2,5.5,5.9
16,103904194,Fc1cccc(C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2)c1F,,,1,400,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,349.33352,3.886,2,2,57.78,0.15,,,,< 5.1,5.8,5.9,< 5.2,< 5.9,6.3,,< 5.3,,6.4,7,,6.1,6.1,< 5.7,,< 5.8,< 5.8,,6.3,,,,,,5.2,6.8,,,5.8,,5.2,5.7,< 5.3,7,< 5.3,,,< 5.0,< 5.8,< 5.1,5.6,,< 5.8,< 5.8,< 5.9,5.4,5.2,< 5.2,< 5.8,< 5.0,,< 5.7,6.5,< 5.5,,< 5.8,< 5.1,< 5.4,< 5.1,< 5.1,< 5.1,< 5.0,< 5.3,< 5.1,6,< 5.8,< 5.7,< 5.9,< 5.8,5.7,< 5.7,,,6.5,5.1,,,6,,5.9,< 5.7,,6.2,6.6,< 5.3,5.9,6.1,5.7,< 5.9,< 5.1,< 5.8,< 5.2,< 5.1,< 5.2,< 5.5,< 5.1,5.3,< 5.1,5.8,5.8,6,< 5.4,< 5.3,5.9,< 5.1,< 5.1,5.5,< 5.7,< 5.2,6.5,5.6,< 5.8,< 5.8,5.5,< 5.2,5.4,< 5.1,< 5.0,< 5.1,< 5.0,< 5.3,6.4,6.6,< 5.0,< 5.8,5.8,5.9,5.7,5.6,< 5.1,< 5.5,< 5.4,< 5.2,< 5.1,< 5.0,< 5.1,< 5.1,< 5.8,< 5.7,< 5.7,< 5.8,< 5.8,6.4,,< 5.7,5.4,7,5.9,< 5.1,< 5.8,< 5.8,,< 5.4,,,,,,,,6,6.6,,,5.3,6.6,,
18,103904195,NC(=O)c1cccc(c1)c2cnc3[nH]cc(c4ccccc4)c3c2,,,1,400,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,313.3526,3.211,2,2,71.77,0.49,,,,5.5,7.4,6.4,< 5.3,< 5.9,7.6,,6,6.9,7.5,6.4,,7.1,6.8,< 5.7,,< 5.8,6.9,6.7,6.1,6.3,,,,,< 5.2,,,6.4,6.3,,6,6.7,5.8,7.7,6.2,,,5.7,6.9,< 5.1,7.2,,6.3,< 5.8,< 5.9,6.9,6,6.5,6.5,6.2,,< 5.7,7.8,< 5.5,,6.8,< 5.1,6.6,6.4,< 5.1,< 5.1,< 5.0,5.8,5.3,6.4,< 5.8,6.7,< 5.9,< 5.8,,< 5.7,,,7.2,6.9,,,7,,6.4,6.1,,7.1,5.9,< 5.3,7.2,7.3,6.1,6.2,6.5,6.4,5.4,5.4,< 5.2,< 5.5,< 5.1,,5.7,< 5.1,< 5.0,< 5.2,6.2,6.7,6.6,< 5.1,< 5.1,7.1,5.9,5.9,< 5.7,6.4,< 5.8,7.1,7.2,6.3,5.6,< 5.1,5.9,< 5.1,< 5.0,< 5.3,6.8,< 5.1,5.4,7,7.5,6.4,5.7,< 5.0,6.6,< 5.5,< 5.4,< 5.2,5.4,< 5.0,6.1,< 5.1,< 5.8,< 5.7,< 5.7,< 5.8,< 5.8,7.4,,6.3,6.6,6.3,7.1,5.1,6.3,7.1,,< 5.4,,,,,,,,,< 5.9,,,7.2,7.3,,
19,103904196,Fc1cccc(F)c1C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,,,1,400,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,349.33352,3.886,2,2,57.78,0.3,,,,< 5.1,5.8,6.5,5.4,< 5.9,< 5.3,,5.4,< 6.4,7.2,8.5,,6,6.3,< 5.7,,< 5.8,< 5.8,5.6,7.9,< 5.2,,,,,6.7,7.3,,< 5.5,6.2,,< 5.2,6.3,5.6,7.5,< 5.3,,,5.3,5.9,< 5.1,6,,,< 5.8,< 5.9,6.1,5.8,5.7,< 5.8,5.3,,6.2,6.4,< 5.5,,< 5.8,5.7,< 5.4,< 5.1,< 5.1,5.1,< 5.0,< 5.3,6.2,6.6,< 5.8,< 5.7,6.2,< 5.8,7.1,< 5.7,,,< 5.3,6.2,,,6.1,,6.2,5.8,,< 5.2,7.2,< 5.3,6.2,6.3,6,< 5.9,5.4,< 5.8,5.3,5.3,5.2,5.8,5.7,5.9,< 5.1,6.4,6.1,5.9,< 5.4,< 5.3,6.2,< 5.1,5.1,6.2,< 5.7,< 5.2,7.8,5.9,< 5.8,6,5.4,5.9,5.5,5.3,5.3,< 5.1,< 5.0,< 5.3,8.5,6.2,< 5.0,6.3,6.1,6,< 5.2,< 5.0,< 5.1,< 5.5,< 5.4,< 5.2,< 5.1,5.4,5.6,6.4,< 5.8,< 5.7,< 5.7,< 5.8,6.9,6.6,,5.9,5.3,7.5,6.3,< 5.1,< 5.8,6.1,,< 5.4,,,,,,,,6,6.9,,,< 5.1,8,,
28,103904197,Clc1cc(nc(NC2CCCCC2)n1)c3c[nH]c4ncccc34,,,1,400,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,327.81131,3.929,4,2,66.48,0.28,< 5.2,8.4,< 6.1,5.4,< 5.9,< 5.8,5.8,6.3,7.7,8.1,< 5.4,6.4,< 6.0,< 6.1,< 5.4,6.1,< 6.0,< 5.7,< 5.5,< 5.6,< 5.5,5.6,< 5.4,,< 5.6,< 5.6,6.7,,< 5.9,6.9,< 5.4,< 5.5,5.5,< 5.4,< 5.0,5.7,5.7,6.8,< 5.7,,,< 5.3,< 5.7,6.6,< 5.7,,< 5.9,< 5.2,< 5.7,7.8,< 5.7,< 5.2,< 5.8,< 5.1,< 5.5,< 5.6,,< 5.5,,5.9,6.3,< 5.4,< 5.1,< 5.1,< 5.1,< 5.0,5.5,< 5.1,< 5.7,< 5.8,< 5.7,< 5.9,< 5.7,,< 5.7,,,6.9,6.1,,,6.8,,6.5,< 5.7,,< 5.8,< 5.8,< 5.2,< 5.9,6.3,6.9,9.3,6.7,< 5.8,6.9,7.4,7.5,7,7.3,6.8,6.4,8.1,7.1,< 5.2,< 5.4,< 5.3,6.6,< 5.1,6,6.7,,5.6,< 5.7,6,< 5.8,< 5.8,7.5,6.4,8.1,5.9,< 5.0,< 5.1,< 5.0,< 5.3,< 5.6,< 5.7,< 5.0,6.4,5.2,5.8,7.2,< 5.0,6.3,< 5.5,< 5.4,5.6,5.9,< 5.0,6.1,< 5.1,< 5.8,< 5.7,6.1,< 5.8,< 5.8,,,< 5.7,6.6,< 5.8,,< 5.1,,< 5.8,,,,,,,,,,< 5.4,< 5.4,< 5.6,5.5,6.9,< 6.2,< 5.4,< 5.4
29,103904198,c1ccc(cc1)c2ccnc3[nH]ccc23,22477600,PubChem,1,400,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,194.23189,2.69,1,1,28.68,0.13,4.6,5.9,6.4,,4.9,5,4.9,5,5.3,5.4,4.6,4.3,,,5.2,,,4.4,,4.7,4.7,6.7,,,6,5.4,6.2,5.1,5,5.4,,5,,5.5,,,4.3,4,4.1,,< 4.1,,4.3,6.8,4.6,5.3,4.4,5.2,5,6.6,5.2,5.2,< 4.2,,,4.8,6.5,,< 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,< 4.0,5,5.6,,,4.7
