sid,smiles,index
103904189,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,1
103904190,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,2
103904191,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,3
103904192,Clc1cc(cc(NCc2ccccc2)n1)c3c[nH]c4ncccc34,4
103904194,Fc1cccc(C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2)c1F,5
103904195,NC(=O)c1cccc(c1)c2cnc3[nH]cc(c4ccccc4)c3c2,6
103904196,Fc1cccc(F)c1C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,7
103904197,Clc1cc(nc(NC2CCCCC2)n1)c3c[nH]c4ncccc34,8
103904198,c1ccc(cc1)c2ccnc3[nH]ccc23,9
103904199,CN(C)C1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,10
103904201,C(Nc1cc(ncn1)c2c[nH]c3ncccc23)c4ccccc4,11
103904202,NC1CCCCC1Nc2nccc(n2)c3c[nH]c4ncccc34,12
103904203,N[C@@H]1CC[C@H](CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,13
103904204,Clc1cc(NC2CCCCC2)nc(n1)c3c[nH]c4ncccc34,14
103904205,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34,15
103904206,OC[C@@H](NC(=O)N1CCC(=CC1)c2c[nH]c3ncccc23)c4ccccc4,16
103904207,CC(C)(C)Nc1ncnc2[nH]cc(c3ccccc3)c12,17
103904208,Nc1nc(Cl)cc(n1)c2c[nH]c3ncccc23,18
103904209,OCC(CO)Nc1ncnc2[nH]cc(c3ccccc3)c12,19
103904210,COc1cccc(c1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,20
103904211,COc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,21
103904212,OCCCNc1ncnc2[nH]cc(c3ccccc3)c12,22
103904213,Clc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,23
103904214,OC1CCN(CC1)c2ncnc3[nH]cc(c4ccccc4)c23,24
103904215,Brc1cnc2[nH]cc(c3ccccc3)c2c1,25
103904216,O[C@@H]1CC[C@H](CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34,26
103904217,NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,27
103904218,CC(C)(CN)CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,28
103904219,CC(C)(CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23)CNS(=O)(=O)C,29
103904220,Clc1cc(nc(NC2CCOCC2)n1)c3c[nH]c4ncccc34,30
103904221,NCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,31
103904222,CS(=O)(=O)NCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,32
103904223,CN(C)C1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,33
103904224,CS(=O)(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,34
103904225,CS(=O)(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,35
103904226,CC(C)(CN)CNc1nc(Cl)cc(n1)c2c[nH]c3ncccc23,36
103904227,CNC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,37
103904228,CC(C)CN[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,38
103904229,CC(C)(CN)CNc1cc(cc(F)n1)c2c[nH]c3ncccc23,39
103904230,CC(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,40
103904231,CNCC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,41
103904232,CCNC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,42
103904233,COc1ccc(CNc2cc(cc(F)n2)c3c[nH]c4ncccc34)cc1,43
103904234,Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,44
103904235,CN(C)CC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,45
103904236,CN(Cc1ccccc1)c2cc(cc(Cl)n2)c3c[nH]c4ncccc34,46
103904237,C(Nc1nccc(n1)c2c[nH]c3ncccc23)C4CCCCC4,47
103904238,FC(F)(F)c1ccccc1CNc2nccc(n2)c3c[nH]c4ncccc34,48
103904239,NC1CCCCC1Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,49
103904240,Clc1cc(ncn1)c2c[nH]c3ncccc23,50
103904241,NC(=O)c1ccc(Nc2ncnc3[nH]cc(c4ccccc4)c23)cc1,51
103904242,Fc1cccc(c1)c2c[nH]c3ncccc23,52
103904243,Clc1cc(cc(NCC=C)n1)c2c[nH]c3ncccc23,53
103904244,CC(C)(Nc1nccc(n1)c2c[nH]c3ncccc23)c4ccccc4,54
103904245,CCCCNc1cc(ncn1)c2c[nH]c3ncccc23,55
103904246,Cc1cccc(CNc2cc(ncn2)c3c[nH]c4ncccc34)c1,56
103904247,FC(F)(F)c1cccc(CNc2cc(ncn2)c3c[nH]c4ncccc34)c1,57
103904248,COCCN(CCOC)c1cc(cc(Cl)n1)c2c[nH]c3ncccc23,58
103904249,CC(C)(O)CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,59
103904250,COCC(C)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,60
103904251,Cc1cccc(CNc2cc(cc(Cl)n2)c3c[nH]c4ncccc34)c1C,61
103904252,CCCC(=O)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,62
103904253,Fc1cccc(F)c1C(=O)Nc2cc(cc(Cl)n2)c3c[nH]c4ncccc34,63
103904254,CN(C)CC(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,64
103904255,OC1CCCC(C1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34,65
103904256,OCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,66
103904257,OCCCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,67
103904258,N[C@@H]1CC[C@H](CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34,68
103904259,COCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,69
103904260,CS(=O)(=O)N[C@@H]1CC[C@H](CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34,70
103904261,CC(C)(CO)CCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,71
103904262,CCCCC(=O)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,72
103904263,Clc1cc(cc(NC(=O)c2ccccc2)n1)c3c[nH]c4ncccc34,73
103904264,NC(=O)c1ccccc1c2ncc[nH]2,74
103904265,OCCc1ccc(Nc2ncnc3[nH]cc(c4ccccc4)c23)cc1,75
103904268,NC(=O)c1ccc(cc1)c2c[nH]c3nc(N)nc(NCc4c(F)cccc4F)c23,76
103904269,CNCC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,77
103904270,Nc1c(cnc2c(cnn12)c3ccc4OCOc4c3)c5ccc(NC(=O)Nc6cccc(c6)C(F)(F)F)cc5,78
103904271,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCCCCCCCCN)c1,79
103904272,Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,80
103904273,COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C[C@H](O)CO)c5)cc1,81
103904274,CCN(CC)CCCNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,82
103904275,Cc1cccc(NC(=O)Nc2ccc(cc2)c3coc4ncnc(N)c34)c1,83
103904276,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)c1,84
103904277,Nc1ncnc2scc(c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12,85
103904278,Cc1cc(C)cc(NC(=O)Nc2ccc(c(C)c2)c3cccc4C(=O)NCc34)c1,86
103904279,Nc1ncc(c2ccncc2)c3scc(c4ccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)cc4)c13,87
103904280,CN(C)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,88
103904281,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCCC5)c1,89
103904282,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3coc4c(cnc(N)c34)C#CCN5CCOCC5)c1,90
103904283,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,91
103904284,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,92
103904285,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,93
103904286,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,94
103904287,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,95
103904288,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(cnn4c3N)c5cnn(C)c5)c1,96
103904289,Cn1cc(cn1)c2cnn3c(N)c(cnc23)c4ccc(NC(=O)Nc5cccc(c5)C(F)(F)F)cc4,97
103904290,Cc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)cc1,98
103904291,COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(CC(C)(C)O)c5)cc1,99
103904292,Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4,100
103904293,CNC(=O)C(C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,101
103904294,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3c(C)sc4ncnc(N)c34)c1,102
103904295,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ccnc(N)c34)c1,103
103904296,Cc1ccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)cc1C,104
103904297,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#Cc5cccnc5)c1,105
103904298,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3cccc4onc(N)c34)c1,106
103904299,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cncc4[nH]nc(N)c34)c1,107
103904300,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN)c1,108
103904301,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3c(F)ccc4[nH]nc(N)c34)c1,109
103904302,CCC(N)(CC)C#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,110
