drug,target,value,fold
1,1,8.1,1
1,2,6.7,1
1,3,5.9,1
1,4,7.3,1
1,5,6.6,1
1,6,6.0,1
1,7,6.9,1
1,8,7.5,1
1,9,7.2,1
1,10,6.1,1
1,11,6.4,1
1,12,6.4,1
1,13,8.3,1
1,14,7.5,1
1,15,7.5,1
1,16,6.7,1
1,17,8.1,1
1,18,7.2,1
1,19,6.7,1
1,20,5.9,1
1,21,6.0,1
1,22,6.1,1
1,23,6.7,1
1,24,6.6,1
1,25,5.5,1
1,26,7.1,2
1,27,8.6,4
1,28,6.7,3
1,29,6.6,3
1,30,7.0,3
1,31,7.6,2
1,32,9.8,2
1,33,7.1,5
1,35,8.9,5
1,36,5.8,4
1,37,7.2,4
1,38,7.3,2
1,39,8.1,4
1,41,7.2,2
1,42,6.2,5
1,43,6.0,5
1,44,6.4,3
1,45,7.7,5
1,46,6.8,3
1,48,6.8,5
1,49,6.8,5
1,50,7.3,4
1,51,6.4,5
1,52,6.3,4
1,54,6.2,3
1,55,7.4,5
1,57,7.0,3
1,59,7.4,3
1,61,8.5,2
1,63,6.1,3
1,64,6.4,5
1,66,7.0,5
1,67,6.3,4
1,68,6.9,4
1,69,5.5,2
1,70,5.7,3
1,71,7.1,3
1,72,6.1,5
1,73,7.3,3
1,74,7.5,4
1,75,8.3,2
1,76,6.7,2
1,79,7.2,5
1,81,6.4,4
1,82,6.6,2
1,83,6.8,3
1,84,7.3,2
1,85,7.0,4
1,87,7.8,2
1,89,6.6,3
1,90,6.6,5
1,91,7.5,2
1,92,6.0,5
1,93,7.8,5
1,94,6.0,2
1,95,6.0,3
1,96,7.9,4
1,97,7.4,4
1,99,7.3,5
1,100,7.7,3
1,101,6.3,4
1,102,6.0,3
1,104,5.6,2
1,105,7.0,4
1,106,5.2,3
1,107,7.4,4
1,108,9.1,5
1,109,6.6,3
1,110,7.9,5
1,113,6.8,2
1,114,6.4,4
1,118,6.3,3
1,119,8.1,2
1,121,6.8,2
1,122,5.4,3
1,123,6.0,5
1,124,8.0,5
1,125,7.4,3
1,129,6.2,4
1,131,5.9,5
1,136,5.9,4
1,138,6.5,3
1,139,6.4,3
1,140,6.1,5
1,146,6.1,4
1,148,6.1,3
1,150,7.1,5
1,151,6.9,3
1,155,5.5,5
1,157,5.3,2
1,158,6.1,5
1,161,5.7,2
1,162,5.5,5
2,1,8.1,3
2,2,6.9,4
2,3,5.5,4
2,4,7.5,3
2,5,5.5,5
2,6,5.9,2
2,7,7.4,5
2,8,8.1,3
2,9,8.5,1
2,13,8.5,2
2,26,7.3,1
2,27,7.8,1
2,28,6.1,1
2,29,6.1,1
2,30,7.2,1
2,31,7.4,1
2,32,9.5,1
2,33,7.3,1
2,34,6.2,1
2,36,6.2,2
2,37,6.4,5
2,38,6.4,3
2,39,8.9,5
2,41,6.6,3
2,48,6.7,5
2,50,6.8,3
2,51,6.1,5
2,53,8.7,2
2,59,7.2,2
2,61,7.7,4
2,66,7.9,2
2,70,5.4,5
2,71,5.8,4
2,74,7.4,3
2,79,7.8,4
2,80,7.7,3
2,87,8.3,4
2,88,9.0,3
2,89,7.3,3
2,90,6.9,5
2,91,7.7,3
2,92,6.9,3
2,93,9.1,5
2,94,5.7,2
2,96,7.5,2
2,98,7.6,5
2,99,7.1,5
2,108,8.3,4
2,109,5.9,4
2,110,8.2,2
2,118,6.6,3
2,119,8.7,2
2,124,8.5,5
2,125,7.5,5
2,126,5.7,3
2,127,5.6,4
2,129,5.8,5
2,130,6.3,4
2,131,5.7,3
2,136,6.2,5
2,148,5.6,4
2,155,5.7,5
3,1,8.2,5
3,4,6.2,5
3,7,6.3,2
3,8,7.1,2
3,9,6.7,5
3,12,5.9,4
3,13,6.1,2
3,14,6.7,4
3,15,5.7,5
3,16,6.1,5
3,17,6.7,4
3,18,6.1,2
3,19,5.7,4
3,23,6.2,2
3,24,5.8,5
3,25,6.2,2
3,26,5.9,3
3,27,8.4,2
3,29,6.4,1
3,30,6.1,1
3,32,6.5,5
3,33,6.6,4
3,35,6.8,1
3,36,5.8,1
3,37,6.2,1
3,38,6.1,1
3,39,6.4,1
3,40,5.2,1
3,41,7.1,1
3,42,5.5,1
3,43,6.8,1
3,44,5.8,1
3,45,6.2,1
3,46,5.5,1
3,47,5.8,1
3,48,6.1,1
3,52,5.7,5
3,53,6.1,3
3,54,5.8,4
3,55,7.0,2
3,57,6.5,4
3,59,6.6,4
3,61,7.0,4
3,64,5.8,4
3,66,5.8,4
3,67,6.1,2
3,69,6.2,5
3,73,6.4,5
3,74,7.4,5
3,75,7.0,3
3,79,5.4,3
3,80,7.3,4
3,83,6.6,4
3,85,6.7,5
3,87,6.4,5
3,89,6.2,5
3,90,6.2,3
3,91,6.4,5
3,92,5.7,4
3,93,6.8,2
3,94,6.1,4
3,96,6.3,4
3,99,6.3,2
3,100,6.6,2
3,101,6.6,2
3,102,6.8,2
3,104,5.6,4
3,105,7.9,3
3,107,7.4,5
3,108,6.7,2
3,109,5.8,3
3,111,5.3,5
3,112,6.8,5
3,113,5.8,4
3,114,6.2,2
3,116,6.2,4
3,118,6.3,5
3,119,7.0,2
3,121,7.1,3
3,122,5.7,3
3,123,6.1,4
3,124,6.3,5
3,125,7.1,3
3,129,6.0,5
3,134,5.8,5
3,136,6.2,4
3,142,7.0,5
3,148,6.0,5
3,150,6.2,3
3,151,5.6,5
3,161,5.3,3
3,162,5.9,2
4,1,8.4,1
4,2,6.8,3
4,3,7.2,4
4,5,5.7,3
4,7,8.4,5
4,8,7.7,3
4,9,7.1,4
4,13,6.4,1
4,14,7.0,1
4,15,7.8,5
4,17,8.6,5
4,18,8.1,3
4,19,6.4,1
4,21,5.5,4
4,25,5.3,1
4,26,7.2,5
4,28,7.5,4
4,29,6.0,2
4,31,5.7,4
4,34,6.5,3
4,35,7.0,5
4,38,8.0,1
4,39,7.6,1
4,40,5.9,1
4,41,7.1,4
4,42,8.2,1
4,43,5.7,2
4,44,7.1,3
4,45,7.2,1
4,46,6.7,3
4,49,6.7,1
4,50,8.1,1
4,51,6.3,1
4,52,6.5,1
4,53,8.0,1
4,54,7.7,1
4,55,6.8,1
4,56,7.8,1
4,57,6.0,1
4,58,5.8,1
4,60,7.3,2
4,64,5.1,5
4,65,8.0,2
4,68,6.7,4
4,69,5.6,3
4,70,6.5,5
